COVID-19 Vaccinations in the United States
Date generated: Sat Nov 20 2021 14:14:42 GMT-0800 (Pacific Standard Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
United States,562868095,169534,217946,448155906,134983,417112973,161509,229291004,69.1,211420663,81.9,195920566,59,182887685,70.8,319473695,216200900,27193500,0,16357570,170858487,260476713,463136,71543150,108533298,15719927,124191,71460460,95614602,15691320,121303,N/A,69.1,N/A,81.9,54.8,168812985,65.4,229291004,54642914,99.7,47244786,86.2,22522986,22416401,2251176,54223,120064982,219129,1027280,226731769,80,195780771,69.1,71539076,108401219,15716383,124093,445451911,157115,198528,229254976,73.4,195911258,62.7,71540052,108529988,15717061,124157,448112754,143504,180253,33454832,17.1,33418229,18.3,26383491,27.5,18467206,39.1,13555019,19477683,412992,9138,17589499,11925962,1460041,N/A,18139837,12501114,383083,9077,17019390,558613,7242,4254,624457,11289605,8408,3492,457860,634678,367016,487,38130,18218,417,844,96.8,3.2,0,0,5.2,94.7,0.1,0,31.4,43.5,25.1,0,66.2,31.6,0.7,1.5
Alaska,1254495,171486,227444,934076,127685,864960,156820,451692,61.7,412340,74.8,393678,53.8,364970,66.2,684295,489900,80300,0,38711,364066,530568,731,147705,210348,35542,83,147311,182180,35402,77,N/A,61.7,N/A,74.8,49.2,331682,60.1,451692,83555,91.2,76248,83.3,42055,30809,3350,34,193724,211517,1369720,444705,73,392798,64.5,147701,209475,35539,83,926215,152119,206034,451643,66.4,393671,57.9,147703,210346,35539,83,934021,137262,184358,91487,23.2,91228,25,64137,37.4,38495,50.5,38508,52125,843,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7781660,158706,203982,5112835,104276,4852638,127203,2733032,55.7,2582511,67.7,2238958,45.7,2129229,55.8,4002940,3419920,358800,0,151255,2249927,2711397,256,951809,1137808,148840,501,951361,1028613,148755,500,N/A,55.7,N/A,67.7,42.9,1995375,52.3,2733032,768022,90.4,662346,77.9,351282,275529,35206,329,1599047,188159,915665,2725670,65.1,2238860,53.5,951798,1137730,148831,501,5105409,121938,185858,2732710,59.3,2238900,48.6,951805,1137761,148833,501,5112468,110928,168842,354586,15.8,354123,16.6,300715,23.7,220232,33.3,162967,186675,4934,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4798310,159000,207034,3439495,113973,3203213,138210,1799237,59.6,1660627,71.7,1475925,48.9,1377649,59.4,2526470,2046740,225100,0,106221,1478240,1851776,3258,622144,750002,102989,790,621035,653388,102469,757,N/A,59.6,N/A,71.7,45.8,1283492,55.4,1799237,472832,90.3,402729,76.9,226148,161323,14823,435,1014165,193587,915914,1780507,69.6,1474396,57.7,622133,748606,102869,788,3419322,133711,187636,1797803,63.5,1475756,52.2,622134,749960,102873,789,3438001,121512,169591,265170,18,264888,19.2,213857,27.6,154255,38.3,116139,146161,2486,384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,0,0,0,66939,141245,55491,177090,35398,74.7,29342,93.6,31274,66,25917,82.7,0,0,0,0,546,18450,47942,1,8472,22247,555,0,8455,16908,554,0,N/A,74.7,N/A,93.6,64.8,25371,81,35398,2921,89.1,2669,81.4,1129,1515,25,0,5748,175351,0,35384,95.8,31267,84.7,8471,22241,555,0,66920,181272,0,35398,82.1,31274,72.5,8472,22247,555,0,66939,155275,0,850,2.7,845,3.3,546,5.7,255,9.6,285,565,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,11593260,159276,205610,9311244,127924,8656643,153528,4594595,63.1,4224885,74.9,3943778,54.2,3674205,65.2,6421820,4626240,545200,0,316232,3722168,5254796,18048,1518267,2119799,300546,5166,1517640,1851348,300116,5101,N/A,63.1,N/A,74.9,50.3,3394966,60.2,4594595,1211139,92.5,1067797,81.6,519261,498149,47601,2786,2808143,214586,885906,4553446,73.4,3943305,63.5,1518240,2119598,300303,5164,9269041,149355,186805,4594001,67.1,3943495,57.6,1518249,2119769,300311,5166,9310528,135941,169271,631210,16,630075,17.1,511145,25.7,376921,35.3,237497,387695,5756,262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,286940,N/A,N/A,252457,N/A,252455,N/A,130007,N/A,130005,N/A,124528,N/A,124527,N/A,147420,123420,16100,0,12898,104295,135234,30,48000,63864,12664,0,48000,63864,12663,0,N/A,N/A,N/A,N/A,0,112527,0,130007,3626,0,3550,0,1700,1667,183,0,7635,0,0,130005,0,124527,0,48000,63864,12663,0,252455,0,0,130005,0,124527,0,48000,63864,12663,0,252455,0,0,10068,8.1,10068,8.1,3512,12.5,630,17.7,4833,5010,205,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,69059415,174780,225555,57789336,146257,53153873,173606,30579464,77.4,27856619,91,24720483,62.6,22807658,74.5,39992275,25804040,3263100,0,2036537,21839763,33898299,14737,8913199,13837257,1965786,4241,8887318,11958236,1958151,3953,N/A,77.4,N/A,91,58.2,21097306,68.9,30579464,6244717,99.9,4943855,84.7,2488629,2259422,194493,1311,13127337,224856,1182910,30142718,89.6,24670808,73.3,8912495,13788704,1965377,4232,57302012,170307,205251,30575091,82.3,24719451,66.6,8912855,13836919,1965436,4241,57784228,155633,186001,4101561,16.6,4097698,18,3038355,28.2,2020798,40.9,1692041,2348044,61214,262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,9886505,171678,219738,8323747,144541,7705920,171272,4038552,70.1,3681804,81.8,3609132,62.7,3350058,74.5,5663165,3780440,442900,0,299945,3257302,4760039,6461,1352501,1969045,285781,1805,1348811,1714936,284567,1744,N/A,70.1,N/A,81.8,58.6,3117075,69.3,4038552,804281,95.5,738089,87.6,352327,359567,25537,658,1952714,231800,1173600,3963023,80.3,3600881,73,1352479,1960846,285754,1802,8239700,166929,200291,4038302,74.4,3609079,66.5,1352489,1969026,285759,1805,8323465,153385,182188,821082,22.8,820073,24.5,587589,37.7,392137,53.1,350322,460541,10126,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,6683695,187466,235520,5791134,162431,5343417,188291,2933669,82.3,2677260,94.3,2551624,71.6,2365528,83.4,3759835,2616060,307800,0,220870,2147480,3421608,1176,902910,1433206,215088,420,902424,1247882,214908,314,N/A,82.3,N/A,94.3,66.3,2177742,76.7,2933669,687104,99.9,591893,93.9,232971,337480,21350,92,1561157,247707,1060490,2890903,93.1,2551040,82.1,902621,1432995,215007,417,5747092,185035,215190,2932448,86.7,2551192,75.4,902703,1433061,215009,419,5789503,171106,197533,483797,19,483506,20.4,398937,31.5,283062,47.8,198719,280147,4917,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
